Month,Category,Product,UnitsSold,Price,Revenue
2025-01,Electronics,Wireless Earbuds,58,111.14,6446.12
2025-01,Electronics,Smartphone Case,47,91.81,4315.07
2025-01,Electronics,Power Bank,46,13.42,617.32
2025-01,Electronics,Bluetooth Speaker,46,130.6,6007.6
2025-01,Clothing,T-Shirt,57,7.98,454.86
2025-01,Clothing,Jeans,47,145.64,6845.08
2025-01,Clothing,Jacket,31,31.36,972.16
2025-01,Clothing,Sneakers,44,31.59,1389.96
2025-01,Home & Kitchen,Coffee Maker,32,67.63,2164.16
2025-01,Home & Kitchen,Blender,10,47.23,472.3
2025-01,Home & Kitchen,Table Lamp,19,47.36,899.84
2025-01,Home & Kitchen,Cookware Set,33,58.12,1917.96
2025-01,Books,Novel,33,33.95,1120.35
2025-01,Books,Cookbook,20,79.56,1591.2
2025-01,Books,Self-Help Book,18,93.09,1675.62
2025-01,Books,Comic Book,23,29.73,683.79
2025-01,Beauty,Face Cream,31,104.21,3230.51
2025-01,Beauty,Shampoo,36,68.82,2477.52
2025-01,Beauty,Lipstick,39,9.99,389.61
2025-01,Beauty,Perfume,25,136.85,3421.25
2025-02,Electronics,Wireless Earbuds,63,50.2,3162.6
2025-02,Electronics,Smartphone Case,29,80.41,2331.89
2025-02,Electronics,Power Bank,27,145.59,3930.93
2025-02,Electronics,Bluetooth Speaker,53,117.39,6221.67
2025-02,Clothing,T-Shirt,46,17.83,820.18
2025-02,Clothing,Jeans,39,33.42,1303.38
2025-02,Clothing,Jacket,36,61.36,2208.96
2025-02,Clothing,Sneakers,33,44.35,1463.55
2025-02,Home & Kitchen,Coffee Maker,25,45.74,1143.5
2025-02,Home & Kitchen,Blender,40,83.69,3347.6
2025-02,Home & Kitchen,Table Lamp,33,15.81,521.73
2025-02,Home & Kitchen,Cookware Set,26,148.1,3850.6
2025-02,Books,Novel,17,5.8,98.6
2025-02,Books,Cookbook,27,123.24,3327.48
2025-02,Books,Self-Help Book,30,116.83,3504.9
2025-02,Books,Comic Book,29,15.74,456.46
2025-02,Beauty,Face Cream,28,130.15,3644.2
2025-02,Beauty,Shampoo,35,95.38,3338.3
2025-02,Beauty,Lipstick,33,50.09,1652.97
2025-02,Beauty,Perfume,37,52.15,1929.55
2025-03,Electronics,Wireless Earbuds,63,133.65,8419.95
2025-03,Electronics,Smartphone Case,72,73.47,5289.84
2025-03,Electronics,Power Bank,56,115.31,6457.36
2025-03,Electronics,Bluetooth Speaker,39,86.39,3369.21
2025-03,Clothing,T-Shirt,37,80.8,2989.6
2025-03,Clothing,Jeans,57,66.99,3818.43
2025-03,Clothing,Jacket,38,50.58,1922.04
2025-03,Clothing,Sneakers,33,78.74,2598.42
2025-03,Home & Kitchen,Coffee Maker,27,64.51,1741.77
2025-03,Home & Kitchen,Blender,33,114.55,3780.15
2025-03,Home & Kitchen,Table Lamp,21,139.81,2936.01
2025-03,Home & Kitchen,Cookware Set,24,122.18,2932.32
2025-03,Books,Novel,29,121.53,3524.37
2025-03,Books,Cookbook,24,32.05,769.2
2025-03,Books,Self-Help Book,23,122.08,2807.84
2025-03,Books,Comic Book,29,134.93,3912.97
2025-03,Beauty,Face Cream,30,38.05,1141.5
2025-03,Beauty,Shampoo,35,66.93,2342.55
2025-03,Beauty,Lipstick,43,6.01,258.43
2025-03,Beauty,Perfume,43,79.06,3399.58
2025-04,Electronics,Wireless Earbuds,26,22.38,581.88
2025-04,Electronics,Smartphone Case,42,53.95,2265.9
2025-04,Electronics,Power Bank,47,80.22,3770.34
2025-04,Electronics,Bluetooth Speaker,56,106.94,5988.64
2025-04,Clothing,T-Shirt,40,144.55,5782.0
